origem,custo_heuristica_km,custo_2opt_km,melhoria_km,melhoria_percentual,tempo_segundos,trocas_2opt,avaliacoes_2opt,trajeto_heuristica,trajeto_2opt
SaoPaulo,14090.0,14090.0,0.0,0.0,0.000175,0,28,SaoPaulo -> Curitiba -> PortoAlegre -> RioDeJaneiro -> BeloHorizonte -> Brasilia -> Salvador -> Recife -> Fortaleza -> Manaus -> SaoPaulo,SaoPaulo -> Curitiba -> PortoAlegre -> RioDeJaneiro -> BeloHorizonte -> Brasilia -> Salvador -> Recife -> Fortaleza -> Manaus -> SaoPaulo
RioDeJaneiro,14460.0,14460.0,0.0,0.0,8e-05,0,28,RioDeJaneiro -> SaoPaulo -> Curitiba -> PortoAlegre -> BeloHorizonte -> Brasilia -> Salvador -> Recife -> Fortaleza -> Manaus -> RioDeJaneiro,RioDeJaneiro -> SaoPaulo -> Curitiba -> PortoAlegre -> BeloHorizonte -> Brasilia -> Salvador -> Recife -> Fortaleza -> Manaus -> RioDeJaneiro
BeloHorizonte,14190.0,14130.0,60.0,0.42,0.000113,1,56,BeloHorizonte -> RioDeJaneiro -> SaoPaulo -> Curitiba -> PortoAlegre -> Brasilia -> Salvador -> Recife -> Fortaleza -> Manaus -> BeloHorizonte,BeloHorizonte -> RioDeJaneiro -> PortoAlegre -> Curitiba -> SaoPaulo -> Brasilia -> Salvador -> Recife -> Fortaleza -> Manaus -> BeloHorizonte
Brasilia,14110.0,13910.0,200.0,1.42,0.000155,2,84,Brasilia -> BeloHorizonte -> RioDeJaneiro -> SaoPaulo -> Curitiba -> PortoAlegre -> Salvador -> Recife -> Fortaleza -> Manaus -> Brasilia,Brasilia -> Curitiba -> PortoAlegre -> SaoPaulo -> RioDeJaneiro -> BeloHorizonte -> Salvador -> Recife -> Fortaleza -> Manaus -> Brasilia
Curitiba,13820.0,13820.0,0.0,0.0,9.3e-05,0,28,Curitiba -> SaoPaulo -> RioDeJaneiro -> BeloHorizonte -> Brasilia -> Salvador -> Recife -> Fortaleza -> Manaus -> PortoAlegre -> Curitiba,Curitiba -> SaoPaulo -> RioDeJaneiro -> BeloHorizonte -> Brasilia -> Salvador -> Recife -> Fortaleza -> Manaus -> PortoAlegre -> Curitiba
PortoAlegre,13820.0,13820.0,0.0,0.0,0.000121,0,28,PortoAlegre -> Curitiba -> SaoPaulo -> RioDeJaneiro -> BeloHorizonte -> Brasilia -> Salvador -> Recife -> Fortaleza -> Manaus -> PortoAlegre,PortoAlegre -> Curitiba -> SaoPaulo -> RioDeJaneiro -> BeloHorizonte -> Brasilia -> Salvador -> Recife -> Fortaleza -> Manaus -> PortoAlegre
Salvador,13970.0,13970.0,0.0,0.0,7e-05,0,28,Salvador -> Recife -> Fortaleza -> Brasilia -> BeloHorizonte -> RioDeJaneiro -> SaoPaulo -> Curitiba -> PortoAlegre -> Manaus -> Salvador,Salvador -> Recife -> Fortaleza -> Brasilia -> BeloHorizonte -> RioDeJaneiro -> SaoPaulo -> Curitiba -> PortoAlegre -> Manaus -> Salvador
Fortaleza,13960.0,13900.0,60.0,0.43,0.000121,1,56,Fortaleza -> Recife -> Salvador -> BeloHorizonte -> RioDeJaneiro -> SaoPaulo -> Curitiba -> PortoAlegre -> Brasilia -> Manaus -> Fortaleza,Fortaleza -> Recife -> Salvador -> BeloHorizonte -> RioDeJaneiro -> PortoAlegre -> Curitiba -> SaoPaulo -> Brasilia -> Manaus -> Fortaleza
Manaus,13970.0,13820.0,150.0,1.07,0.000111,1,56,Manaus -> Salvador -> Recife -> Fortaleza -> Brasilia -> BeloHorizonte -> RioDeJaneiro -> SaoPaulo -> Curitiba -> PortoAlegre -> Manaus,Manaus -> Fortaleza -> Recife -> Salvador -> Brasilia -> BeloHorizonte -> RioDeJaneiro -> SaoPaulo -> Curitiba -> PortoAlegre -> Manaus
Recife,14380.0,14320.0,60.0,0.42,0.00011,1,56,Recife -> Fortaleza -> Salvador -> BeloHorizonte -> RioDeJaneiro -> SaoPaulo -> Curitiba -> PortoAlegre -> Brasilia -> Manaus -> Recife,Recife -> Fortaleza -> Salvador -> BeloHorizonte -> RioDeJaneiro -> PortoAlegre -> Curitiba -> SaoPaulo -> Brasilia -> Manaus -> Recife
